Date_Heure;W1_raw;W1_f;W2_raw;W2_f;W3_raw;W3_f;W4_raw;W4_f
2026-06-06 18:22:36;993.00;1016.66;1023.00;1016.64;1023.00;1015.42;1023.00;1016.51
2026-06-06 18:42:36;1017.00;1014.05;1016.00;1017.02;999.00;1014.00;1023.00;1015.68
2026-06-06 19:02:37;1023.00;1014.35;997.00;1017.15;1005.00;1016.03;1023.00;1015.19
2026-06-06 19:22:37;1009.00;1017.18;1023.00;1014.87;1017.00;1013.66;1000.00;1016.69
2026-06-06 19:42:37;1023.00;1013.27;995.00;1013.01;1023.00;1015.71;1001.00;1015.68
2026-06-06 20:02:37;1023.00;1018.33;1012.00;1016.98;1015.00;1014.20;1023.00;1015.35
2026-06-06 20:22:37;1004.00;1013.77;999.00;1015.19;1004.00;1016.43;1023.00;1014.38
2026-06-06 20:42:37;1023.00;1015.86;1023.00;1015.98;1020.00;1012.64;1005.00;1014.91
2026-06-06 21:02:37;1023.00;1014.84;1023.00;1014.80;1000.00;1015.89;999.00;1016.73
2026-06-06 21:22:38;1023.00;1017.56;999.00;1013.60;988.00;1013.41;1023.00;1015.28
2026-06-06 21:42:38;1023.00;1015.75;986.00;1017.97;1023.00;1013.58;1023.00;1017.61
2026-06-06 22:02:38;1023.00;1016.15;1023.00;1013.27;1016.00;1015.95;1007.00;1016.70
2026-06-06 22:22:38;1009.00;1017.30;1013.00;1018.23;1000.00;1013.01;1023.00;1014.95
2026-06-06 22:42:38;1019.00;1016.56;1012.00;1019.61;1023.00;1014.41;1019.00;1016.21
2026-06-06 23:02:39;1013.00;1017.80;1020.00;1017.11;1023.00;1014.16;1023.00;1015.25
2026-06-06 23:22:39;991.00;1014.97;1012.00;1015.87;1008.00;1016.46;1023.00;1015.42
2026-06-06 23:42:39;1002.00;1014.98;1023.00;1016.39;1006.00;1013.87;1023.00;1015.52
2026-06-07 00:02:39;1018.00;1014.46;1003.00;1016.93;1023.00;1017.48;1023.00;1015.93
2026-06-07 00:22:39;1000.00;1012.95;1005.00;1013.47;1023.00;1015.59;1014.00;1015.65
2026-06-07 00:42:40;1001.00;1013.68;1010.00;1016.34;1023.00;1017.13;1023.00;1016.21
2026-06-07 01:02:40;1023.00;1016.18;1023.00;1017.21;1023.00;1016.03;1023.00;1014.26
2026-06-07 01:22:40;1023.00;1017.89;1023.00;1013.01;1013.00;1015.58;1023.00;1014.62
2026-06-07 01:42:40;1023.00;1015.54;1005.00;1016.16;1014.00;1015.84;1002.00;1017.28
2026-06-07 02:02:40;1011.00;1016.21;1020.00;1016.68;1023.00;1016.46;1010.00;1014.52
2026-06-07 02:22:41;1023.00;1014.64;1023.00;1015.49;996.00;1012.22;1023.00;1016.72
2026-06-07 02:42:41;1023.00;1015.94;1010.00;1018.04;1023.00;1017.66;1016.00;1015.87
2026-06-07 03:02:41;1000.00;1016.13;1005.00;1016.10;1023.00;1014.16;1019.00;1017.39
2026-06-07 03:22:42;1018.00;1015.39;998.00;1011.21;1010.00;1014.65;1001.00;1016.17
2026-06-07 03:42:42;1023.00;1016.73;1008.00;1014.67;1023.00;1014.56;1022.00;1011.83
2026-06-07 04:02:42;1023.00;1015.36;1023.00;1016.61;1018.00;1015.89;1005.00;1016.95
