717704537,15212.89,100989.55,7681.98,366883.84
721366318,14964.34,101189.36,8297.67,372319.34
725025548,16154.55,102460.64,8474.81,378911.56
728687945,15428.39,104701.91,9867.65,379620.50
732348406,15799.79,106413.16,9306.36,379474.25
736010158,15580.16,108488.37,9657.46,365864.88
739672900,16389.52,109704.89,9599.28,371006.66
743334880,15199.79,109306.34,9757.19,360212.31
746994076,16095.54,108437.03,9480.91,360104.34
750655905,14442.12,106636.33,8230.75,326112.91
754315049,13989.17,104343.48,7755.74,320121.75
757977097,13348.57,101386.92,7614.23,692708.44
761639567,14204.20,104125.87,8016.32,670515.50
765301111,14741.06,104190.89,8789.92,684564.63
768963340,14931.54,107453.95,8711.20,706349.81
772626219,15544.16,110357.41,9331.97,738400.19
776288690,16469.54,109811.23,10161.99,763249.81
779950445,16326.50,110007.25,9904.24,743301.94
783610946,16787.71,113205.28,10375.36,772209.44
787273057,17108.13,114952.88,10789.49,812248.63
790935612,17170.09,117114.95,10417.85,831191.44
794598496,17437.63,118968.65,10358.49,844724.81
798261355,17300.38,121033.13,10556.17,854098.94
801924510,16191.61,118913.89,10599.71,858562.38
805587251,17478.70,119503.15,10528.55,859376.00
809249051,18137.59,123027.02,10142.28,860284.81
812909902,17495.70,123790.84,10140.27,845619.63
816571340,18783.26,126696.54,10386.22,1285243.60
820231555,18206.87,128978.98,10013.76,1325215.40
823893382,17511.75,128260.02,10364.51,1186086.00
827553606,17938.02,131930.36,10220.17,491437.53
831215556,18827.52,130003.61,10681.74,523261.69
834876057,19068.75,125561.21,9447.39,523456.06
838537924,17369.54,123600.95,9075.64,561118.19
842200928,15313.56,121877.19,8969.19,565152.94
845861338,15129.10,118975.85,9183.15,564231.75
849520494,14932.48,118745.24,8763.37,545058.19
853182364,14992.31,119206.70,9316.16,542426.50
856842499,15964.66,121129.43,9601.29,544032.81
860504282,16564.54,122792.17,9969.38,540150.69
864167120,16644.55,124093.43,10454.44,536396.19
867829999,17001.91,125335.09,11083.35,549704.63
871492613,17160.17,126898.46,10579.89,562563.81
875154411,18128.50,127212.63,10206.36,612205.38
878814650,18356.39,128495.83,10233.15,605013.88
882476567,16213.44,130162.23,10177.80,595011.44
886137140,18467.92,131643.47,10503.77,611863.25
889798313,18358.40,131264.63,10400.97,597284.44
893458856,19138.02,132852.19,11030.83,594815.38
897120707,19302.07,135381.30,10368.40,600622.44
900780797,19434.84,138119.06,10516.63,598130.75
904442759,19424.80,137079.45,10753.96,1297928.90
908102682,19115.01,139063.56,9007.66,1337366.90
911764561,19730.71,139510.61,9552.90,601089.69
915423841,19556.51,130742.28,8653.96,539836.38
919086882,17758.40,131949.13,7304.79,563983.63
922749293,16644.55,126872.50,7669.23,534613.06
926411172,16678.54,124441.58,6871.91,592554.56
930073563,16070.52,122013.97,6367.85,581960.38
933734965,16623.55,124393.78,6584.53,627556.56
937397361,17947.94,123561.77,7589.69,623184.38
941059245,18636.69,127151.02,8112.74,621018.50
944722281,19025.43,129486.23,8059.51,627882.31
948383721,20355.25,131319.27,7909.16,625541.44
952046512,21102.65,131421.13,7971.12,629170.31
955708964,21971.62,133014.00,7918.01,631409.94
959367930,21839.08,134657.73,7850.15,620278.19
963030779,23926.81,133810.38,7584.85,617686.19
966693263,23581.84,136375.13,8559.43,599050.19
970355277,24741.60,136120.80,7522.89,616615.06
974019176,23878.18,139104.98,7749.95,615239.94
977680669,25342.89,136248.61,7319.54,644129.94
981343190,25036.52,135954.28,7967.22,616472.38
985005832,24106.66,137246.45,7819.58,497685.25
988668270,24951.20,136368.88,7984.81,417643.50
992330858,23958.32,135259.98,7710.65,365921.06
995993443,22999.90,132598.34,7700.74,376298.31
999655316,19658.24,123795.67,7179.10,386646.66
1003315252,15931.73,118833.88,7009.28,388539.28
1006977085,14814.93,113603.23,7118.21,390047.66
1010640636,14152.39,111977.31,7257.59,405426.59
1014302466,15085.19,109089.20,7459.04,418704.72
1017964894,14736.10,113587.54,7947.51,388119.03
1021626767,15665.96,112219.60,7033.82,385674.19
1025290492,14869.69,111167.36,7379.38,387189.53
1028952267,16278.47,113178.73,8161.83,397521.56
1032615094,17093.96,116610.55,7787.25,410013.81
1036277839,15544.16,116839.15,8140.24,402424.13
1039940485,16894.75,116858.50,8260.26,396717.88
1043602727,16945.85,118462.48,8564.51,389453.56
1047265480,16183.58,119292.84,8905.22,386642.88
1050928546,16572.56,118899.38,8267.22,392664.56
1054590794,16453.49,118782.77,8110.73,392876.06
1058253927,15725.91,120701.73,8265.22,388306.66
1061916644,16385.51,118369.01,7992.71,385435.06
1065578592,16108.52,119360.94,8248.46,373658.38
1069242054,15686.96,118480.65,8507.27,369324.31
1072903999,15775.83,121024.51,8344.88,374920.94
1076566881,16487.59,120063.73,8467.97,387065.84
1080228731,16259.58,119799.84,8755.46,387122.00
1083892001,16083.62,120466.64,8590.94,385709.81
1087550361,16135.55,119012.20,7573.05,379714.91
1091209697,14294.71,119912.91,7956.37,377525.22
1094872270,15364.54,116992.80,7794.09,364914.38
1098534821,15214.78,115671.84,8103.89,360410.47
1102196684,15162.97,118731.91,7799.99,356883.19
1105855934,15570.13,114602.25,7456.09,356410.63
1109517908,14990.43,118662.75,8101.88,368780.84
1113180342,13869.74,120603.07,7681.98,380929.41
1116842157,14558.72,121466.02,7429.54,374928.38
1120501996,14624.46,120710.23,7750.90,381274.75
1124163799,14694.32,119308.77,7861.95,386034.97
1127820841,15810.76,120553.03,7941.61,369729.47
1131481235,14775.04,122040.76,8321.27,378611.78
