temps_ms,valeur
1109170,927.58
1110393,932.48
1111616,922.50
1112840,922.16
1114062,921.97
1115286,907.27
1116509,932.54
1117732,917.54
1118956,907.32
1120179,931.92
1121402,907.28
1122625,907.24
1123849,917.26
1125071,927.63
1126298,948.29
1127585,1851.46
1128808,1067.22
1130032,979.14
1131254,948.07
1132478,942.59
1133702,927.58
1134924,917.58
1136148,947.64
1137371,927.74
1138594,927.42
1139817,932.23
1141041,912.20
1142263,897.21
1143487,942.65
1144711,927.47
1145933,927.35
1147205,1610.89
1148428,1020.59
1149651,958.34
1150874,952.44
1152098,932.60
1153321,932.60
1154544,927.69
1155768,952.26
1156990,922.55
1158214,917.06
1159437,917.62
1160660,927.51
1161883,912.64
1163107,902.09
1164331,917.10
1165556,928.45
1166827,1584.72
1168051,1005.15
1169273,943.35
1170497,938.22
1171720,933.25
1172943,957.34
1174167,917.42
1175390,922.09
1176613,912.46
1177836,927.69
1179060,922.59
1180282,902.54
1181506,906.92
1182729,897.20
1183952,902.40
1185175,922.60
1186501,2385.62
1187776,2013.64
1189051,1986.50
1190326,1981.39
1191601,1991.88
1192877,2029.24
1194099,1160.70
1195323,1030.61
1196547,995.19
1197769,984.43
1198993,969.09
1200217,973.43
1201439,948.20
1202663,938.07
1203889,989.94
1205139,1303.61
1206364,1004.93
1207586,973.62
1208810,953.37
1210033,943.27
1211256,937.66
1212480,932.57
1213703,922.53
1214926,922.86
1216149,957.90
1217373,917.66
1218595,917.54
1219819,912.31
1221042,912.68
1222265,907.97
1223488,927.66
1224712,927.56
1225934,907.24
1227158,902.28
1228382,902.86
1229604,927.69
1230828,907.65
1232051,917.49
1233274,902.32
1234497,896.88
1235721,927.57
1236943,917.58
1238167,917.51
1239390,887.26
1240613,907.23
1241836,907.75
1243063,948.56
1244286,912.36
1245509,907.21
1246733,918.08
1247955,902.82
1249179,922.31
1250402,897.06
1251625,902.44
1252848,897.33
1254072,907.67
1255294,897.16
1256518,897.45
1257741,887.26
1258964,887.73
1260187,902.50
1261411,902.48
1262635,877.24
1263857,882.66
1265081,887.42
1266304,902.58
1267527,897.40
1268750,887.23
1269974,882.25
1271197,882.35
1272420,917.44
1273644,912.46
1274866,877.07
1276090,887.21
1277313,877.38
1278536,877.67
1279759,902.74
1280983,897.30
1282208,923.36
1283432,887.48
1284656,927.69
1285878,907.67
1287102,897.12
1288326,882.20
1289548,887.26
1290772,897.92
1291996,887.58
1293218,897.45
1294442,882.28
1295666,867.47
1296888,877.67
1298112,892.71
1299336,897.37
1300558,892.12
1301782,877.38
1303006,877.67
1304228,892.66
1305452,892.33
1306676,907.01
1307898,882.28
1309122,872.64
1310346,917.74
1311568,887.41
1312792,887.21
1314016,872.39
1315238,877.36
1316462,887.83
1317686,877.47
1318908,877.24
1320132,877.28
1321359,923.68
1322582,877.90
1323805,907.32
1325029,877.28
1326252,867.63
1327475,877.84
1328699,867.76
1329922,882.44
1331145,867.29
1332369,877.50
1333592,862.69
1334815,887.88
1336039,862.48
1337262,867.34
1338485,877.28
1339709,882.33
1340932,887.58
1342155,887.70
1343379,892.30
1344602,857.39
1345825,872.30
1347049,872.45
1348272,887.53
1349495,862.71
1350719,877.42
1351942,867.29
1353165,867.50
1354389,867.66
1355612,867.75
1356835,867.57
1358059,882.26
1359282,862.35
1360508,918.41
1361732,877.43
1362955,877.22
1364178,862.47
1365401,872.49
1366625,867.70
1367848,867.39
1369071,852.17
1370295,877.43
1371518,867.53
1372741,857.57
1373965,877.41
1375188,857.14
1376411,862.32
1377635,857.45
1378859,862.65
1380081,842.76
1381305,867.66
1382529,867.29
1383751,862.14
1384975,852.43
1386199,867.68
1387421,867.66
1388645,867.24
1389869,862.37
1391091,862.39
1392315,857.46
1393539,852.57
1394761,867.83
1395985,862.60
1397209,857.59
1398431,857.36
1399658,873.75
1400882,842.77
1402104,872.99
1403328,857.62
1404552,872.59
1405774,852.33
1406998,847.43
1408222,842.48
1409444,847.78
1410668,862.67
1411892,852.64
1413114,857.55
1414338,857.14
1415562,847.57
1416784,842.67
1418008,847.78
1419232,862.83
1420455,867.61
1421678,847.35
1422902,832.56
1424125,817.50
1425348,852.68
1426572,857.62
1427795,847.71
1429018,857.50
1430242,837.02
1431465,857.43
1432688,852.35
1433912,857.70
1435136,852.68
1436358,857.56
1437582,857.40
1438809,878.66
1440031,857.74
1441255,837.84
1442479,872.50
1443701,847.53
1444925,832.60
1446149,857.49
1447371,842.61
1448595,852.89
1449818,847.70
1451041,847.75
1452265,847.27
1453488,847.38
1454711,842.67
1455935,857.60
1457158,857.81
1458381,857.67
1459605,852.47
1460828,847.15
1462051,832.94
1463275,847.75
1464498,862.73
1465721,847.63
1466945,852.45
1468168,842.39
1469391,837.52
1470615,847.65
1471838,842.61
1473061,847.76
1474285,827.79
1475508,832.10
1476731,822.33
1477958,878.78
1479181,842.70
1480404,852.72
1481628,837.58
1482851,842.06
1484075,837.40
1485298,822.40
1486521,842.85
1487745,837.74
