Sechage capteurs le 26/06/2026
temps_ms,CapteurBrut1,CapteurBrut2,Reference45K,CapteurFiltre1,CapteurFiltre2,Reference45KFiltre
76663331,11880.35,11615.14,475203.09,11876.70,11633.62,475416.71
77281433,11886.75,11614.08,475008.62,11878.71,11629.71,475335.09
77899535,11888.33,11610.64,475721.43,11880.64,11625.90,475412.37
78517636,11886.89,11605.06,475023.28,11881.89,11621.73,475334.56
79135736,11894.45,11594.67,475857.75,11884.40,11616.32,475439.21
79753838,11896.04,11591.56,475426.37,11886.73,11611.37,475436.65
80371941,11902.30,11584.16,475851.12,11889.84,11605.93,475519.56
80990043,11901.02,11581.14,475467.75,11892.08,11600.97,475509.21
81608147,11914.71,11576.83,475104.37,11896.61,11596.14,475428.25
82226249,11914.79,11576.74,475072.62,11900.24,11592.26,475357.12
82844352,11920.73,11575.60,474819.84,11904.34,11588.93,475249.68
83462454,11925.16,11575.52,475726.53,11908.50,11586.25,475345.06
84080556,11938.57,11575.50,476323.09,11914.52,11584.10,475540.68
84698657,11952.39,11577.18,475329.53,11922.09,11582.71,475498.46
85316759,11958.71,11572.27,475325.03,11929.42,11580.63,475463.78
85934861,11969.30,11570.70,475765.71,11937.39,11578.64,475524.18
86552966,11985.42,11572.55,475225.28,11947.00,11577.42,475464.40
87171067,12007.14,11579.82,475241.37,11959.03,11577.90,475419.81
87789169,12017.47,11587.41,475198.90,11970.71,11579.80,475375.62
88407271,12037.02,11591.63,475424.12,11983.98,11582.17,475385.31
89025373,12055.11,11594.75,475850.46,11998.20,11584.69,475478.34
89643473,12083.78,11599.14,474904.87,12015.32,11587.58,475363.65
90261574,12109.46,11605.12,475262.68,12034.15,11591.09,475343.46
90879677,12126.09,11613.97,475662.09,12052.54,11595.66,475407.18
91497781,12157.60,11622.73,475014.62,12073.55,11601.08,475328.68
92115881,12185.20,11640.56,475383.46,12095.88,11608.97,475339.65
92733984,12218.41,11658.74,475320.40,12120.39,11618.93,475335.81
93352086,12248.51,11672.32,474690.37,12146.01,11629.61,475206.75
93970187,12286.28,11694.62,475695.68,12174.06,11642.61,475304.56
94588289,12315.52,11706.45,475723.68,12202.36,11655.38,475388.40
95206390,12357.73,11734.93,475482.71,12233.43,11671.29,475407.25
95824495,12395.80,11763.24,475956.28,12265.90,11689.68,475517.06
96442597,12430.27,11785.69,475716.84,12298.78,11708.88,475557.03
97060699,12479.51,11812.32,475069.71,12334.93,11729.57,475459.56
97678799,12526.09,11842.79,474914.43,12373.16,11752.21,475350.56
