temps_ms,valeur
595994,985.59
597217,975.32
598440,995.39
599663,985.65
600887,944.97
602109,955.00
603333,949.84
604556,939.68
605779,970.31
607002,975.19
608226,970.12
609448,985.38
610672,1010.74
611895,990.58
613117,970.16
614341,975.21
615564,980.31
616787,995.61
618010,1000.60
619234,980.47
620456,980.37
621680,965.07
622903,970.12
624126,985.36
625349,1000.56
626573,970.10
627795,995.55
629019,960.02
630245,1021.02
631469,1005.81
632691,985.33
633915,975.34
635138,975.35
636361,980.25
637584,965.24
638807,980.41
640030,964.95
641253,985.33
642477,939.97
643699,944.88
644923,954.87
646146,965.15
647369,949.97
648592,924.66
649816,944.75
651038,934.71
652262,970.29
653485,970.13
654707,985.33
655931,960.01
657154,960.02
658377,980.26
659600,1000.44
660824,995.55
662046,975.27
663270,975.23
664493,980.56
665716,975.21
666939,1000.57
668163,980.68
669385,995.46
670609,990.36
671835,970.23
673058,954.84
674281,949.82
675505,965.17
676727,980.19
677950,959.90
679174,970.09
680396,954.92
681620,955.06
682843,954.90
684066,965.08
685289,954.88
686513,965.40
687735,960.08
688958,944.81
690182,944.85
691404,944.81
692628,955.26
693851,975.35
695074,970.20
696297,934.62
697521,939.84
698743,929.57
699967,970.43
701190,944.77
702413,944.73
703636,924.53
704860,965.26
706082,939.68
707306,955.03
708529,950.12
709752,939.71
710975,949.81
712199,959.99
713424,975.30
714647,975.20
715871,949.81
717093,960.13
718317,995.42
719540,944.87
720763,929.57
721986,939.63
723210,949.82
724432,965.15
725656,949.98
726879,964.95
728101,980.24
729325,975.22
730548,970.13
731771,960.01
732994,970.16
734218,975.26
735440,975.14
736664,990.41
737887,985.31
739110,959.97
740333,990.63
741557,975.19
742779,959.96
744003,965.02
745226,975.45
746449,975.33
747672,975.19
748895,980.42
750118,985.37
751341,970.13
752565,965.05
753787,949.76
755014,1015.87
756237,970.24
757460,980.24
758683,949.77
759907,980.57
761129,970.16
762353,970.12
763576,949.88
764800,944.71
766022,980.62
767246,980.36
768468,965.02
769691,970.20
770915,939.71
772137,949.82
773361,985.67
774584,954.92
775808,970.10
777030,954.86
778254,934.71
779476,954.88
780700,990.34
781923,949.89
783147,949.83
784369,944.73
785592,954.86
786816,955.04
788038,975.13
789262,960.13
790484,914.59
791708,924.42
792931,914.41
794155,964.97
795377,929.57
796604,975.22
797827,939.66
799050,934.68
800273,929.48
801496,924.51
802719,909.36
803942,909.29
805166,944.86
806388,919.42
807612,944.94
808835,914.40
810058,929.51
811281,929.59
812505,924.43
813727,934.61
814951,934.63
816174,939.78
817396,929.75
818620,919.37
819843,944.90
821066,939.64
822289,939.68
823513,939.65
824735,944.73
825959,944.73
827182,949.96
828405,904.24
829628,853.73
830852,883.99
832074,863.93
833298,889.33
834521,919.47
835743,919.51
836967,929.60
838193,914.54
839416,909.56
840639,884.19
841863,894.14
843085,909.36
844309,894.16
845532,863.98
846755,858.74
847978,899.35
849202,889.15
850424,904.35
851647,848.89
852871,803.43
854093,828.53
855317,858.70
856540,909.28
857763,919.48
858986,848.79
860210,884.01
861467,1114.19
862690,944.74
863912,909.36
865136,919.53
866359,934.69
867582,929.66
868805,899.24
870029,889.12
871251,904.19
872475,934.71
873698,889.29
874921,823.43
876144,843.60
877367,868.82
878590,889.10
879816,884.19
881040,838.61
882263,858.71
883486,883.97
884709,873.96
885933,894.19
887155,884.17
888378,873.98
889602,873.89
890824,894.01
892048,894.06
893271,894.16
894494,894.14
895717,899.18
896941,884.07
898163,878.94
899386,904.30
900610,894.19
901832,884.12
903056,873.95
904279,669.33
905502,687.52
906725,813.32
907949,833.64
909171,868.94
910395,1615.49
911618,2016.06
912841,1830.93
914064,1512.91
915288,1686.28
916510,1606.78
917734,1601.37
918957,1565.14
920180,1229.70
921406,1241.60
922630,495.93
923852,900.07
925076,1369.90
926299,674.24
927522,558.59
928745,1072.05
929969,932.04
931191,607.49
932415,472.95
933638,324.27
934861,274.86
936084,205.90
937308,156.72
938530,117.46
939754,865.27
940977,1104.16
942200,880.47
943423,1056.26
944647,1459.72
945869,1229.68
947093,1158.05
948316,1142.74
949539,1179.56
950762,1051.21
951986,752.71
953209,991.64
954432,1025.61
955656,995.18
956878,979.97
958102,782.80
959325,596.80
960547,1000.73
961774,1149.12
962998,919.18
964220,686.17
965443,441.99
966667,314.19
967889,314.25
969113,383.65
970336,358.81
971559,403.38
972782,393.48
974006,423.28
975228,462.99
976451,448.05
977675,569.90
978897,833.29
980121,872.34
981344,968.08
982567,572.70
983790,722.77
985014,854.23
986236,556.34
987460,433.13
988683,433.37
989905,507.67
991129,458.24
992352,398.48
993575,408.40
994798,428.25
996022,443.12
997244,463.04
