id,capteur,raw,filtered,date
19535,a3,167.7073,167.6049,2026-05-10 15:25:08.276076
19536,a6,1023.0,1022.917,2026-05-10 15:25:08.538006
19537,a0,633.0,632.2495,2026-05-10 15:27:10.831160
19538,a1,505.6585,505.5081,2026-05-10 15:27:11.126940
19539,a2,581.5366,581.6467,2026-05-10 15:27:11.438377
19540,a3,167.7805,167.6137,2026-05-10 15:27:11.708926
19541,a6,1022.854,1022.914,2026-05-10 15:27:11.981584
19542,a0,633.8781,633.8765,2026-05-10 15:29:16.869568
19543,a1,507.1219,506.65,2026-05-10 15:29:17.122364
19544,a2,583.1219,582.8838,2026-05-10 15:29:17.411735
19545,a3,167.6341,167.6047,2026-05-10 15:29:17.695942
19546,a6,1023.0,1022.894,2026-05-10 15:29:17.957179
19547,a0,634.7561,633.9205,2026-05-10 15:31:20.473900
19548,a1,507.4878,506.6919,2026-05-10 15:31:20.773991
19549,a2,583.0488,582.892,2026-05-10 15:31:21.282041
19550,a3,167.5854,167.6037,2026-05-10 15:31:21.550134
19551,a6,1023.0,1022.899,2026-05-10 15:31:21.828128
19552,a0,634.6829,633.9586,2026-05-10 15:33:24.357278
19553,a1,507.1707,506.7159,2026-05-10 15:33:24.675446
19554,a2,5.0,583.3818,2026-05-10 15:33:25.032168
19555,a3,167.6585,167.6054,2026-05-10 15:33:25.389159
19556,a6,1022.902,1022.889,2026-05-10 15:33:25.702116
19557,a0,636.8536,636.4189,2026-05-10 15:35:32.366035
19558,a1,509.2195,508.446,2026-05-10 15:35:32.689193
19559,a2,584.6097,584.7118,2026-05-10 15:35:32.962777
19560,a3,167.6341,167.6219,2026-05-10 15:35:33.284481
19561,a6,1022.854,1022.901,2026-05-10 15:35:33.585546
19562,a0,636.9512,636.4455,2026-05-10 15:37:35.759899
19563,a1,508.7317,508.4603,2026-05-10 15:37:36.048784
19564,a2,584.8049,584.7164,2026-05-10 15:37:36.306161
19565,a3,167.5854,167.62,2026-05-10 15:37:36.571226
19566,a6,1022.951,1022.903,2026-05-10 15:37:36.827206
19567,a0,638.4634,638.155,2026-05-10 15:39:41.534363
19568,a1,510.0488,509.706,2026-05-10 15:39:42.023984
19569,a2,586.1951,585.768,2026-05-10 15:39:42.536886
19570,a3,167.5366,167.5879,2026-05-10 15:39:42.829474
19571,a6,1022.951,1022.913,2026-05-10 15:39:43.095110
19572,a0,638.0488,638.1497,2026-05-10 15:41:45.774874
19573,a1,509.8781,509.7146,2026-05-10 15:41:46.072651
19574,a2,586.9268,585.8259,2026-05-10 15:41:46.398188
19575,a3,167.6341,167.5903,2026-05-10 15:41:46.675607
19576,a6,1022.585,1022.897,2026-05-10 15:41:46.939665
19577,a0,640.4878,639.8926,2026-05-10 15:43:50.257497
19578,a1,511.6342,510.9536,2026-05-10 15:43:50.576697
19579,a2,587.561,587.3386,2026-05-10 15:43:50.840371
19580,a3,167.6341,167.6051,2026-05-10 15:43:51.088651
19581,a6,1023.0,1022.933,2026-05-10 15:43:51.371877
19582,a0,640.3415,639.915,2026-05-10 15:45:53.550414
19583,a1,511.8293,510.9974,2026-05-10 15:45:53.826709
19584,a2,587.4146,587.3424,2026-05-10 15:45:54.127958
19585,a3,167.6341,167.6066,2026-05-10 15:45:54.416354
19586,a6,1022.781,1022.925,2026-05-10 15:45:54.688004
19587,a0,642.0975,641.7211,2026-05-10 15:47:59.435086
19588,a1,512.5366,512.1985,2026-05-10 15:47:59.714113
19589,a2,568.9268,579.0488,2026-05-10 15:47:59.979948
19590,a3,167.3659,167.6049,2026-05-10 15:48:00.259891
19591,a6,1023.0,1022.909,2026-05-10 15:48:00.507936
19592,a0,642.4146,641.7557,2026-05-10 15:50:02.667400
19593,a1,513.1951,512.2484,2026-05-10 15:50:02.946674
19594,a2,569.0732,578.55,2026-05-10 15:50:03.247680
19595,a3,167.6098,167.6051,2026-05-10 15:50:03.504548
19596,a6,1022.976,1022.912,2026-05-10 15:50:03.772088
19597,a0,643.3415,643.4186,2026-05-10 15:52:08.192648
19598,a1,514.0488,513.5901,2026-05-10 15:52:08.528040
19599,a2,569.1951,569.1545,2026-05-10 15:52:08.932157
19600,a3,167.4878,167.605,2026-05-10 15:52:09.257745
19601,a6,1022.902,1022.89,2026-05-10 15:52:09.617116
19602,a0,644.439,643.4695,2026-05-10 15:54:12.066671
19603,a1,513.7317,513.5972,2026-05-10 15:54:12.452854
19604,a2,569.3171,569.1627,2026-05-10 15:54:12.797510
19605,a3,167.561,167.6028,2026-05-10 15:54:13.121896
19606,a6,1022.902,1022.891,2026-05-10 15:54:13.392682
