UnixTime;Station;MessageID;Sonde1;Sonde2;Sonde3;Sonde4;Sonde5;Sonde6;Sonde7;watermark
2313941504;WAOU1;55;428.47;45852348.00;38060.14;76283896.00;105341.82;1255291.00;78214056.00;101888940.00
2313945145;WAOU1;56;427.40;42517164.00;39473.30;75375816.00;109771.57;1403116.60;76912848.00;110038620.00
2313941504;WAOU1;57;427.99;42060908.00;40935.11;78815832.00;114095.20;1556437.40;76687040.00;113960140.00
2313945145;WAOU1;58;429.07;38611388.00;42364.12;73529640.00;118404.91;1710670.80;79864024.00;112331940.00
2313941504;WAOU1;59;428.97;37877384.00;43849.91;74659408.00;122655.97;1866121.00;77736880.00;110984670.00
2313945145;WAOU1;60;428.19;40183420.00;45345.80;76167120.00;126970.05;2026735.40;80305944.00;103543850.00
2313941504;WAOU1;61;429.37;39665024.00;46854.60;76167120.00;131253.75;2173834.00;78513792.00;103862740.00
2313945145;WAOU1;62;427.69;41801196.00;48373.34;76283896.00;135670.83;2345725.50;78454832.00;115636200.00
2313941504;WAOU1;63;427.59;41544664.00;49905.84;75890480.00;140053.66;2542982.00;77974736.00;100488490.00
2313945145;WAOU1;64;428.68;41922220.00;51373.79;77558000.00;143810.80;2725733.80;78875328.00;115905350.00
2313941504;WAOU1;65;427.10;42785856.00;52772.42;76687040.00;147301.88;2911759.30;79126200.00;121282180.00
2313945145;WAOU1;66;427.99;43240084.00;54017.07;75774896.00;150323.27;3109013.80;78815832.00;103759650.00
2313941504;WAOU1;67;429.86;41939084.00;55201.39;76000896.00;152926.95;3306925.80;78875328.00;114084470.00
2313945145;WAOU1;68;427.69;39898856.00;56300.16;75045536.00;155605.77;3581835.50;79675240.00;110866990.00
2313941504;WAOU1;69;428.47;40247032.00;57442.46;74766264.00;158388.33;3849620.50;76395456.00;119004980.00
2313945145;WAOU1;70;428.58;43240084.00;58538.43;76856272.00;161485.91;4206960.00;79553920.00;107814740.00
2313941504;WAOU1;71;428.47;42553604.00;59604.95;75544768.00;164310.53;4543148.00;77443032.00;106464440.00
2313945145;WAOU1;72;428.58;40713916.00;60584.33;77265488.00;167228.36;4947403.00;77858536.00;107471210.00
2313941504;WAOU1;73;429.56;40926512.00;61555.63;78091296.00;169936.73;5427570.00;77443032.00;103759650.00
2313945145;WAOU1;74;427.10;40632976.00;62623.77;72433504.00;173140.55;5966322.50;75774896.00;101998290.00
2313941504;WAOU1;75;428.87;41276544.00;63757.72;75774896.00;176758.64;6669959.00;75544768.00;106129430.00
2313945145;WAOU1;76;430.06;43057956.00;64894.07;77673320.00;180314.84;7358678.00;79246216.00;103543850.00
2313941504;WAOU1;77;427.01;42696496.00;66012.89;72847688.00;183447.28;8118709.00;77974736.00;102407930.00
2313945145;WAOU1;78;427.50;39057076.00;67157.40;74547536.00;186842.00;9137881.00;76743368.00;101888940.00
2313941504;WAOU1;79;428.19;38921424.00;68272.14;75321472.00;189905.77;10009710.00;72741168.00;101090930.00
2313945145;WAOU1;80;427.30;42147628.00;69333.14;76512944.00;193050.14;11061820.00;72847688.00;105370040.00
2313941504;WAOU1;81;427.30;41159204.00;70375.58;75045536.00;196056.72;12131997.00;77794768.00;96580064.00
2313945145;WAOU1;82;428.68;39177468.00;71382.68;77202696.00;198942.05;12882544.00;81009464.00;110387120.00
2313941504;WAOU1;83;428.28;42113576.00;72299.60;75430232.00;201856.52;14949051.00;72634960.00;95320712.00
2313945145;WAOU1;84;428.68;42659812.00;73183.25;75774896.00;204803.02;16207328.00;75714488.00;100788810.00
2313941504;WAOU1;85;428.38;42465212.00;74120.48;76630792.00;208142.41;18280998.00;76000896.00;110387120.00
2313945145;WAOU1;86;428.28;39914136.00;75031.06;75375816.00;211726.84;20097292.00;77858536.00;114221550.00
2313941504;WAOU1;87;428.58;40713916.00;75916.14;75321472.00;215370.27;22059206.00;75490184.00;109795970.00
2313945145;WAOU1;88;428.38;40215976.00;76798.30;76799776.00;218992.47;26314126.00;78149704.00;107239720.00
2313941504;WAOU1;89;428.97;42306684.00;77734.42;75829896.00;223255.80;28582978.00;72634960.00;104391610.00
2313945145;WAOU1;90;429.86;41750976.00;78866.37;75430232.00;228619.13;33785312.00;75890480.00;95590920.00
2313941504;WAOU1;91;428.28;44547932.00;80026.48;76856272.00;234335.00;37089980.00;77794768.00;109439720.00
2313945145;WAOU1;92;428.58;40503512.00;81078.58;75945648.00;239522.33;42164672.00;71969408.00;98453816.00
2313941504;WAOU1;93;429.26;41309256.00;82107.07;77265488.00;244190.73;46374256.00;76912848.00;100993270.00
