2313946646;WAOU1;87;0.00:234.26:0.00:195.55:5.90:246.89:14.52:366.92
2313946706;WAOU1;88;0.00:227.54:0.00:344.61:16.40:398.90:12.51:322.30
2313946766;WAOU1;89;0.00:286.55:0.00:174.19:10.62:339.77:5.90:394.06
2313946825;WAOU1;90;0.00:248.78:0.00:185.88:6.84:347.56:6.84:333.99
2313946885;WAOU1;91;0.00:318.41:0.00:230.37:4.84:354.41:9.68:458.97
2313946945;WAOU1;92;0.00:221.64:0.00:233.20:13.57:344.61:14.52:519.98
2313947005;WAOU1;93;0.00:340.72:0.00:243.00:18.41:348.50:7.79:363.02
2313947065;WAOU1;94;0.00:335.05:0.00:296.22:19.35:292.45:12.51:351.46
2313947124;WAOU1;95;0.00:233.20:0.00:302.95:18.41:222.70:10.62:338.83
2313947184;WAOU1;96;0.00:228.48:0.00:196.50:21.36:276.87:9.68:351.46
2313947244;WAOU1;97;0.00:221.64:0.00:238.16:8.73:272.97:11.57:398.90
2313947304;WAOU1;98;0.00:181.98:0.00:280.76:15.46:349.45:8.73:385.33
2313947364;WAOU1;99;0.00:276.87:0.94:277.81:12.51:376.59:8.73:331.16
2313947423;WAOU1;100;0.00:224.59:0.00:217.74:12.51:253.62:9.68:411.41
2313947483;WAOU1;101;0.00:306.84:0.00:256.45:8.73:268.14:8.73:367.86
2313947543;WAOU1;102;0.00:309.80:0.00:240.05:9.68:240.99:19.35:338.83
2313947603;WAOU1;103;0.00:256.45:0.00:208.18:10.62:329.15:6.84:348.50
2313947663;WAOU1;104;0.00:310.74:0.00:251.73:15.46:287.49:8.73:359.24
2313947722;WAOU1;105;0.00:289.50:0.00:181.98:10.62:310.74:13.57:371.75
2313947782;WAOU1;106;0.00:246.89:0.00:221.64:8.73:310.74:9.68:356.29
2313947842;WAOU1;107;0.00:221.64:0.00:188.83:3.89:226.59:6.84:297.17
2313947902;WAOU1;108;0.00:187.88:0.00:230.37:7.79:200.39:12.51:406.57
2313947962;WAOU1;109;0.00:258.46:0.00:186.82:6.84:299.06:13.57:348.50
2313948021;WAOU1;110;0.00:245.95:0.00:259.40:16.40:267.19:19.35:410.46
2313948081;WAOU1;111;0.00:258.46:0.00:172.31:5.90:365.97:13.57:388.16
2313948141;WAOU1;112;0.00:234.26:0.00:231.31:5.90:261.41:15.46:243.00
2313948201;WAOU1;113;0.00:187.88:0.00:149.06:13.57:357.24:11.57:374.70
2313948261;WAOU1;114;0.00:268.14:0.00:255.51:14.52:267.19:7.79:355.35
2313948320;WAOU1;115;0.00:313.69:0.00:190.72:3.89:284.66:5.90:322.30
2313948380;WAOU1;116;0.00:308.85:0.94:213.85:8.73:309.80:8.73:368.80
2313948440;WAOU1;117;0.00:327.26:2.01:264.24:11.57:306.84:5.90:344.61
2313948500;WAOU1;118;0.00:188.83:0.00:258.46:4.84:363.97:10.62:439.61
2313948560;WAOU1;119;0.00:243.94:0.00:262.35:11.57:351.46:9.68:342.72
2313948619;WAOU1;120;0.00:243.94:0.00:197.44:8.73:310.74:20.30:410.46
2313948679;WAOU1;121;0.00:268.14:0.00:254.56:12.51:295.28:8.73:333.99
